stop_name,lat,lon
RAMBOUILLET,48.8445304,2.3812481
RAMBUTEAU,48.8617648,2.3537854
RANELAGH,48.8555764,2.2702166
RASPAIL,48.8389219,2.3307369
REAUMUR-SEB.,,
RENNES,48.848198,2.3277771
REPUBLIQUE,48.8678868,2.3638832
REUILLY-DID.,,
RICHARD LENOIR,48.860218,2.3720497
RICHELIEU-DR.,48.8709002,2.3395313
RIQUET,48.8884812,2.3742226
RIS ORANGIS,,
ROBESPIERRE,48.8558145,2.4237108
ROBINSON,48.87649,2.3020648
ROISSY EN BRIE,,
ROMAINV.CARNOT,,
ROME,48.8823012,2.3213298
ROSA PARKS,48.8964867,2.3740572
ROSNY BOIS PERR,,
ROSNY BOIS.P,,
ROSNY SS BOIS,,
ROSNY SUR SEINE,,
RUE D.LA POMPE,,
RUE DU BAC,48.855187,2.3257952
RUEIL-MALMAIS.,,
RUNGIS,48.8226494,2.347242
S. GAINSBOURG,,
SAINT-AMBROISE,48.8610434,2.3747264
SAINT-AUGUSTIN,48.874471,2.3217921
SAINT-FARGEAU,48.8715218,2.4043104
SAINT-GEORGES,48.8784466,2.3374748
SAINT-JACQUES,48.8329806,2.3368199
SAINT-LAZARE,48.8754153,2.3253531
SAINT-MARCEL,48.8382809,2.3608339
SAINT-MAUR,48.864335,2.3794817
SAINT-MICHEL,48.8532864,2.3435081
SAINT-MICHEL NOTRE DAME,48.8534102,2.3456233
SAINT-PAUL,48.8553844,2.3604068
SAINT-PLACIDE,48.847098,2.3270206
SAINT-SULPICE,48.8511009,2.3307034
SANNOIS,,
SANTEUIL LE PER,,
SARCELLES,48.9855915,2.4471119
SARTROUVILLE,,
SAULES,48.8887808,2.3399012
SAVIGNY LE TEMP,,
SAVIGNY SUR ORG,,
SCEAUX,,
SEGUR,48.8469753,2.3074451
SENTIER,48.867518,2.3465656
SERMAISE,,
SEUGY,,
SEVRAN BEAUDOTT,,
SEVRAN LIVRY,,
SEVRES RG,,
SEVRES VILLE,46.3249125,-0.4554615
SEVRES-BABYL.,,
SEVRES-LECOUR.,,
SIMPLON,48.8938481,2.3478412
SOLFERINO,48.8586551,2.3229865
SOUPPES CHATEAU,,
ST CHERON,,
ST CLOUD,48.8377937,2.256558
ST CYR,48.8820211,2.285737
